A	S1R1	B	S1	C	R1
Time	S1 / R1	Time	S1	Time	R1
s	CPS / MicroAmps	s	CPS	s	MicroAmps
0	9345352.16674932	0	486838.333333333	0	0.0520941666666667
10	9357740.35155063	10	487561.666666667	10	0.0521025
20	9359269.71422347	20	486833.333333333	20	0.0520161666666667
30	9340543.58649262	30	486226.666666667	30	0.0520555
40	9328566.26155092	40	485740	40	0.0520701666666667
50	9312580.85588759	50	484695	50	0.0520473333333333
60	9332555.1646946	60	486381.666666667	60	0.0521166666666667
70	9354431.59614337	70	486726.666666667	70	0.0520316666666667
80	9321594.76312022	80	485106.666666667	80	0.0520411666666667
90	9340936.1941575	90	486938.333333333	90	0.0521295
100	9342243.58011713	100	487311.666666667	100	0.0521621666666667
110	9306013.67369334	110	484798.333333333	110	0.0520951666666667
120	9329286.83704209	120	485696.666666667	120	0.0520615
130	9314648.22921704	130	484770	130	0.0520438333333333
140	9296256.50666974	140	484576.666666667	140	0.052126
150	9297917.08680245	150	484110	150	0.0520665
160	9298465.51321692	160	484671.666666667	160	0.0521238333333333
170	9288995.22755479	170	484000	170	0.0521046666666667
180	6070835.37352266	180	316160	180	0.0520785
190	5319087.67192534	190	277091.666666667	190	0.0520938333333333
200	5136704.1857756	200	267505	200	0.0520771666666667
210	4994740.4264571	210	260361.666666667	210	0.0521271666666667
220	4858733.75294238	220	253198.333333333	220	0.052112
230	4722836.71777207	230	245871.666666667	230	0.0520601666666667
240	4578029.91034575	240	238465	240	0.052089
250	4435341.68870492	250	231445	250	0.052182
260	4290624.17151381	260	223878.333333333	260	0.0521785
270	4162153.68965859	270	216860	270	0.0521028333333333
280	4012386.42043343	280	208721.666666667	280	0.0520193333333333
290	3878501.23831589	290	202280	290	0.0521541666666667
300	3736021.82831291	300	194888.333333333	300	0.0521646666666667
310	3600567.27053875	310	187453.333333333	310	0.0520621666666667
320	3485027.14638597	320	181763.333333333	320	0.0521555
330	3336974.40074099	330	174131.666666667	330	0.0521825
340	3217563.13430068	340	167713.333333333	340	0.0521243333333333
350	3096612.62517551	350	161365	350	0.0521101666666667
360	2992749.52105901	360	155956.666666667	360	0.0521115
370	2877853.93599514	370	150101.666666667	370	0.0521575
380	2754133.86832958	380	143685	380	0.0521706666666667
390	2636189.35449078	390	137280	390	0.0520751666666667
400	2539684.05966414	400	132608.333333333	400	0.0522145
410	2441385.29907545	410	127453.333333333	410	0.0522053333333333
420	2343908.78354627	420	122245	420	0.0521543333333333
430	2245393.20963411	430	117201.666666667	430	0.0521965
440	2167310.8250551	440	113086.666666667	440	0.0521783333333333
450	2081212.43125719	450	108486.666666667	450	0.0521266666666667
460	1995829.89555551	460	104016.666666667	460	0.052117
470	1907682.86091665	470	99416.6666666667	470	0.0521138333333333
480	1843897.59682352	480	95973.3333333333	480	0.0520491666666667
490	1771672.17812346	490	92328.3333333333	490	0.0521136666666667
500	1704322.68731272	500	88823.3333333333	500	0.0521165
510	1642140.87461469	510	85591.6666666667	510	0.052122
520	1583835.01985398	520	82433.3333333333	520	0.0520466666666667
530	1535175.51841387	530	80140	530	0.0522025
540	1495851.06620734	540	78086.6666666667	540	0.0522021666666667
550	1426977.28551696	550	74381.6666666667	550	0.0521253333333333
560	1386736.23366327	560	72293.3333333333	560	0.052132
570	1337856.37323392	570	69740	570	0.0521281666666667
580	1285591.52288432	580	67071.6666666667	580	0.0521718333333333
590	1251920.22120948	590	65196.6666666667	590	0.0520773333333333
600	1194338.78361907	600	62221.6666666667	600	0.0520971666666667
610	1166038.49455708	610	60895	610	0.0522238333333333
620	1129200.30425639	620	58886.6666666667	620	0.052149
630	1098076.93536739	630	57271.6666666667	630	0.0521563333333333
640	1054431.85259567	640	55128.3333333333	640	0.0522825
650	1023974.4612929	650	53460	650	0.0522083333333333
660	1001046.91320196	660	52271.6666666667	660	0.052217
670	967965.108493965	670	50601.6666666667	670	0.0522763333333333
680	941564.038229492	680	49160	680	0.052211
690	904913.860360418	690	47168.3333333333	690	0.0521246666666667
700	884626.066636659	700	46185	700	0.0522085
710	868308.700689373	710	45218.3333333333	710	0.0520763333333333
720	49875.2319406232	720	2598.33333333333	720	0.0520966666666667
730	33910.2564102564	730	1763.33333333333	730	0.052
740	32135.320074183	740	1675	740	0.0521233333333333
750	33100.5220680797	750	1726.66666666667	750	0.0521643333333333
760	31807.8982147257	760	1656.66666666667	760	0.0520835
770	28548.4764010997	770	1486.66666666667	770	0.0520751666666667
780	30548.758057035	780	1591.66666666667	780	0.0521025
790	29467.3795148921	790	1535	790	0.0520915
800	32872.5205573285	800	1711.66666666667	800	0.0520698333333333
810	31238.4213417828	810	1630	810	0.0521793333333333
820	31220.6805788154	820	1625	820	0.0520488333333333
830	31112.5038371022	830	1621.66666666667	830	0.0521226666666667
840	32945.2896880283	840	1715	840	0.052056
850	33158.1541534109	850	1726.66666666667	850	0.0520736666666667
860	31582.8506399683	860	1646.66666666667	860	0.052138
870	32473.3437316219	870	1693.33333333333	870	0.0521453333333333
880	31036.7225221017	880	1616.66666666667	880	0.0520888333333333
890	30960.7435701227	890	1611.66666666667	890	0.0520551666666667
900	30905.2750121574	900	1610	900	0.0520946666666667
