A	S1R1	B	S1	C	R1
Time	S1 / R1	Time	S1	Time	R1
s	CPS / MicroAmps	s	CPS	s	MicroAmps
0	9444596.90458163	0	476081.666666667	0	0.0504078333333333
10	9405715.60495375	10	475310	10	0.0505341666666667
20	9404798.84848765	20	474795	20	0.0504843333333333
30	9453328.09232975	30	476985	30	0.0504568333333333
40	9430455.47696172	40	475515	40	0.0504233333333333
50	9402185.23921522	50	473715	50	0.0503835
60	9387158.18279165	60	473385	60	0.050429
70	9388860.04107781	70	473125	70	0.0503921666666667
80	9422668.84477666	80	475868.333333333	80	0.0505025
90	9382926.02377807	90	473525	90	0.0504666666666667
100	9438776.01610296	100	475955	100	0.0504255
110	9390681.95286351	110	472756.666666667	110	0.0503431666666667
120	9388635.62088806	120	474015	120	0.0504881666666667
130	9368098.68590399	130	473123.333333333	130	0.0505036666666667
140	9395934.65108228	140	474956.666666667	140	0.0505491666666667
150	9372891.02777659	150	473595	150	0.0505281666666667
160	9383768.75895445	160	473758.333333333	160	0.050487
170	9383941.29757694	170	474026.666666667	170	0.0505146666666667
180	9403812.43655826	180	475563.333333333	180	0.0505713333333333
190	9383692.36458732	190	473645	190	0.0504753333333333
200	6127538.99210734	200	308861.666666667	200	0.0504055
210	5315656.7742703	210	268106.666666667	210	0.0504371666666667
220	5149298.88542455	220	259565	220	0.0504078333333333
230	5003903.53633928	230	252105	230	0.0503816666666667
240	4860184.48110556	240	245010	240	0.0504116666666667
250	4734926.97726529	250	238780	250	0.0504295
260	4629397.50429126	260	233290	260	0.0503931666666667
270	4470528.26353926	270	225093.333333333	270	0.0503505
280	4356154.78205671	280	219596.666666667	280	0.0504106666666667
290	4206442.27815235	290	212228.333333333	290	0.0504531666666667
300	4067868.9044955	300	205045	300	0.050406
310	3959395.39404519	310	199605	310	0.050413
320	3816988.10825814	320	192533.333333333	320	0.0504411666666667
330	3724029.81816739	330	187670	330	0.0503943333333333
340	3593559.33212298	340	181110	340	0.0503985
350	3473116.28768582	350	174988.333333333	350	0.0503836666666667
360	3359689.02489455	360	169258.333333333	360	0.0503791666666667
370	3227103.73564547	370	162896.666666667	370	0.0504776666666667
380	3129644.40222302	380	157583.333333333	380	0.0503518333333333
390	3036058.017717	390	153256.666666667	390	0.0504788333333333
400	2934507.52450551	400	147840	400	0.0503798333333333
410	2829001.16870777	410	142413.333333333	410	0.0503405
420	2747313.6915078	420	138705	420	0.0504875
430	2648186.90132756	430	133716.666666667	430	0.0504936666666667
440	2566511.92889546	440	129556.666666667	440	0.0504796666666667
450	2465735.31501697	450	124343.333333333	450	0.0504285
460	2382715.43830124	460	120345	460	0.0505075
470	2313957.98939313	470	116568.333333333	470	0.0503761666666667
480	2260176.14853606	480	113940	480	0.050412
490	2173261.97551841	490	109573.333333333	490	0.0504188333333333
500	2099849.17442845	500	105810	500	0.0503893333333333
510	2034664.90590954	510	102716.666666667	510	0.0504833333333333
520	1958159.10663502	520	98576.6666666667	520	0.0503415
530	1908397.19829576	530	96451.6666666667	530	0.0505406666666667
540	1844153.27564895	540	93245	540	0.0505625
550	1802419.76726155	550	91048.3333333333	550	0.0505145
560	1750795.53047494	560	88215	560	0.0503856666666667
570	1700929.01775383	570	85746.6666666667	570	0.0504116666666667
580	1672861.22536631	580	84391.6666666667	580	0.0504475
590	1607860.87323962	590	81175	590	0.0504863333333333
600	1566367.566605	600	79165	600	0.0505405
610	1502845.14740636	610	75886.6666666667	610	0.0504953333333333
620	1486134.19417084	620	74963.3333333333	620	0.0504418333333333
630	1448076.70093566	630	73126.6666666667	630	0.0504991666666667
640	1388696.93733489	640	70001.6666666667	640	0.0504081666666667
650	1350398.95373722	650	68148.3333333333	650	0.0504653333333333
660	1331536.81540778	660	67200	660	0.050468
670	1298181.07365529	670	65518.3333333333	670	0.0504693333333333
680	1271061.87177734	680	64133.3333333333	680	0.0504565
690	1243217.95762932	690	62898.3333333333	690	0.0505931666666667
700	1218795.79125637	700	61411.6666666667	700	0.0503871666666667
710	1200591.45037362	710	60626.6666666667	710	0.0504973333333333
720	1155009.17067367	720	58250	720	0.0504325
730	1131271.73618948	730	57141.6666666667	730	0.050511
740	1106457.4153836	740	55873.3333333333	740	0.0504975
750	1064096.25177201	750	53670	750	0.0504371666666667
760	1050204.37763713	760	53098.3333333333	760	0.05056
770	1034334.02914507	770	52358.3333333333	770	0.0506203333333333
780	999782.340564464	780	50526.6666666667	780	0.0505376666666667
790	989894.387935332	790	49973.3333333333	790	0.0504835
800	957183.333003111	800	48310	800	0.050471
810	941248.328573551	810	47515	810	0.0504808333333333
820	931738.551817741	820	47025	820	0.0504701666666667
830	908420.645442853	830	45793.3333333333	830	0.0504098333333333
840	884486.791505332	840	44620	840	0.0504473333333333
850	851656.859708888	850	43083.3333333333	850	0.0505876666666667
860	845153.118444143	860	42703.3333333333	860	0.0505273333333333
870	827067.420669414	870	41706.6666666667	870	0.0504271666666667
880	810933.202877089	880	40888.3333333333	880	0.0504213333333333
890	803727.719557342	890	40635	890	0.0505581666666667
900	777557.951660237	900	39301.6666666667	900	0.050545
910	763412.616543683	910	38606.6666666667	910	0.0505711666666667
920	747173.963896586	920	37796.6666666667	920	0.0505861666666667
930	728358.090684875	930	36766.6666666667	930	0.0504788333333333
940	720047.449584816	940	36420	940	0.05058
950	711045.020211945	950	35941.6666666667	950	0.0505476666666667
960	690216.2813832	960	34923.3333333333	960	0.0505976666666667
970	681362.3287852	970	34423.3333333333	970	0.0505213333333333
980	663082.555711227	980	33445	980	0.0504386666666667
990	647210.726700877	990	32581.6666666667	990	0.0503416666666667
1000	636825.652785947	1000	32120	1000	0.0504376666666667
1010	634705.65500474	1010	32023.3333333333	1010	0.0504538333333333
1020	613180.761713592	1020	30955	1020	0.0504826666666667
1030	616708.095242811	1030	31136.6666666667	1030	0.0504885
1040	601022.384882696	1040	30353.3333333333	1040	0.0505028333333333
1050	580089.610290986	1050	29281.6666666667	1050	0.0504778333333333
1060	581009.602701419	1060	29365	1060	0.0505413333333333
1070	565807.036335173	1070	28613.3333333333	1070	0.0505708333333333
1080	548857.753158828	1080	27793.3333333333	1080	0.0506385
1090	543858.375781889	1090	27475	1090	0.0505186666666667
1100	535425.81717087	1100	27123.3333333333	1100	0.0506575
1110	523005.801663451	1110	26473.3333333333	1110	0.0506176666666667
1120	509756.59617122	1120	25766.6666666667	1120	0.050547
1130	505835.549016632	1130	25556.6666666667	1130	0.0505236666666667
1140	496056.160537853	1140	25061.6666666667	1140	0.0505218333333333
1150	491840.009489511	1150	24878.3333333333	1150	0.0505821666666667
1160	485704.20514985	1160	24550	1160	0.0505451666666667
1170	466422.337648641	1170	23586.6666666667	1170	0.0505693333333333
1180	468098.981920945	1180	23686.6666666667	1180	0.0506018333333333
1190	463772.420507236	1190	23421.6666666667	1190	0.0505025
1200	456085.371686817	1200	23043.3333333333	1200	0.0505241666666667
1210	443264.869575551	1210	22380	1210	0.050489
1220	439066.209443419	1220	22193.3333333333	1220	0.0505466666666667
1230	429519.628780089	1230	21721.6666666667	1230	0.050572
1240	424004.097615782	1240	21385	1240	0.0504358333333333
1250	415756.295587313	1250	20995	1250	0.0504983333333333
1260	407340.3826721	1260	20558.3333333333	1260	0.0504696666666667
1270	400138.55898654	1270	20215	1270	0.05052
1280	397013.912453342	1280	20085	1280	0.0505901666666667
1290	399748.241977685	1290	20218.3333333333	1290	0.0505776666666667
1300	379092.116056809	1300	19178.3333333333	1300	0.0505901666666667
1310	381673.588465211	1310	19253.3333333333	1310	0.0504445
1320	52966.1716989486	1320	2671.66666666667	1320	0.050441
1330	40377.1176491986	1330	2035	1330	0.0503998333333333
1340	37466.6596244751	1340	1891.66666666667	1340	0.0504893333333333
1350	35354.2182661262	1350	1786.66666666667	1350	0.0505361666666667
1360	31669.7644375898	1360	1601.66666666667	1360	0.050574
1370	36963.2741349407	1370	1868.33333333333	1370	0.0505456666666667
1380	34012.0375614061	1380	1721.66666666667	1380	0.0506193333333333
1390	34159.0638570067	1390	1726.66666666667	1390	0.0505478333333333
1400	34088.3591388482	1400	1721.66666666667	1400	0.050506
1410	34773.8877927594	1410	1768.33333333333	1410	0.0508523333333333
