Data Name	CENSORED		
Trace Name	CCD {DSI=0;Em.bw=10;Em.Filter=Open;Em.Polz=Open;Em.=530;Ex.bw=5;Ex.Filter=410LP;Ex.Polz=Open;Ex.=470;Ph.=Sample;Sample.Pos.=1;Tsp=20}	CCD {DSI=0;Em.bw=10;Em.Filter=Open;Em.Polz=Open;Em.=530;Ex.bw=5;Ex.Filter=410LP;Ex.Polz=Open;Ex.=470;Ph.=Sample;Sample.Pos.=1;Tsp=20}	
Wavelength Range	470:530	470:530	
Axis	X	Y	
Label	Time [s]	Intensity [Counts]	
Sample Position	1	1	
Temperature (Celsius)	19.99	19.99	
File Timestamp			
Polarizer positions (Ex,Em)	( Open, Open)	( Open, Open)	
Rayleigh Masking			
Excitation wavelength (nm)	470	470	
Kinetic time (sec)	0.02	0.02	
0	0.02	12587	
1	10.02	12543	
2	20.02	12530	
3	30.021	12533	
4	40.021	12413	
5	50.022	12546	
6	60.022	12543	
7	70.022	12563	
8	80.023	12500	
9	90.023	12467	
10	100.023	12553	
11	110.024	12491	
12	120.024	12543	
13	130.024	12458	
14	140.025	12503	
15	150.025	12632	
16	160.026	12540	
17	170.026	12447	
18	180.026	12517	
19	190.027	12547	
20	200.027	12478	
21	210.028	12538	
22	220.028	12563	
23	230.028	12592	
24	240.029	12500	
25	250.029	12538	
26	260.029	12547	
27	270.03	12640	
28	280.03	12358	
29	290.031	12436	
30	300.031	12643	
31	310.031	12577	
32	320.032	12596	
33	330.032	12625	
34	340.032	12452	
35	350.033	12453	
36	360.033	12625	
37	370.033	12487	
38	380.034	12433	
39	390.034	12426	
40	400.035	12597	
41	410.035	12541	
42	420.035	12565	
43	430.036	12576	
44	440.036	12490	
45	450.036	12370	
46	460.037	12557	
47	470.037	12595	
48	480.037	12667	
49	490.038	12566	
50	500.038	12520	
51	510.039	12493	
52	520.039	12520	
53	530.039	12458	
54	540.04	12613	
55	550.04	12598	
56	560.04	12511	
57	570.041	12568	
58	580.041	12467	
59	590.041	12572	
60	600.042	12558	
61	610.042	12533	
62	620.042	12617	
63	630.043	12472	
64	640.043	12486	
65	650.044	12545	
66	660.044	12655	
67	670.044	12360	
68	680.045	12481	
69	690.045	12516	
70	700.045	12452	
71	710.046	12472	
72	720.046	12405	
73	730.046	12681	
74	740.047	12526	
75	750.047	12531	
76	760.048	12462	
77	770.048	12626	
78	780.048	12530	
79	790.049	12458	
80	800.049	12605	
81	810.049	12586	
82	820.05	12528	
83	830.05	12608	
84	840.05	12526	
85	850.051	12510	
86	860.051	12528	
87	870.052	12533	
88	880.052	12348	
89	890.052	12515	
90	900.053	12538	
91	910.053	12426	
92	920.053	12472	
93	930.054	12463	
94	940.054	12331	
95	950.054	12412	
96	960.055	12518	
97	970.055	11841	
98	980.055	9586	
99	990.056	8748	
100	1000.06	8516	
101	1010.06	8491	
102	1020.06	8587	
103	1030.06	8358	
104	1040.06	8445	
105	1050.06	8401	
106	1060.06	8461	
107	1070.06	8423	
108	1080.06	8468	
109	1090.06	8400	
110	1100.06	8441	
111	1110.06	8407	
112	1120.06	8385	
113	1130.06	8401	
114	1140.06	8373	
115	1150.06	8380	
116	1160.06	8407	
117	1170.06	8473	
118	1180.06	8472	
119	1190.06	8415	
120	1200.06	8430	
121	1210.06	8362	
122	1220.06	8272	
123	1230.07	8307	
124	1240.07	8418	
125	1250.07	8315	
126	1260.07	8222	
127	1270.07	8323	
128	1280.07	8300	
129	1290.07	8320	
130	1300.07	8300	
131	1310.07	8365	
132	1320.07	8332	
133	1330.07	8331	
134	1340.07	8173	
135	1350.07	8418	
136	1360.07	8388	
137	1370.07	8260	
138	1380.07	8383	
139	1390.07	8403	
140	1400.07	8300	
141	1410.07	8293	
142	1420.07	8346	
143	1430.07	8276	
144	1440.07	8273	
145	1450.07	8217	
146	1460.07	8532	
147	1470.07	8250	
148	1480.07	8226	
149	1490.07	8297	
150	1500.07	8262	
151	1510.08	8401	
152	1520.08	8201	
153	1530.08	8373	
154	1540.08	8272	
155	1550.08	8282	
156	1560.08	8277	
157	1570.08	8136	
158	1580.08	8203	
159	1590.08	8210	
160	1600.08	8195	
161	1610.08	8231	
162	1620.08	8306	
163	1630.08	8206	
164	1640.08	8091	
165	1650.08	8221	
166	1660.08	8296	
167	1670.08	8245	
168	1680.08	8240	
169	1690.08	8181	
170	1700.08	8173	
171	1710.08	8213	
172	1720.08	8175	
173	1730.08	8227	
174	1740.08	8283	
175	1750.08	8185	
176	1760.08	8115	
177	1770.08	8226	
178	1780.09	8185	
179	1790.09	8208	
180	1800.09	8206	
181	1810.09	8243	
182	1820.09	8288	
183	1830.09	8146	
184	1840.09	8242	
185	1850.09	8156	
186	1860.09	8063	
187	1870.09	8145	
188	1880.09	8121	
189	1890.09	8112	
190	1900.09	8117	
191	1910.09	8201	
192	1920.09	8027	
193	1930.09	8072	
194	1940.09	8092	
195	1950.09	8177	
196	1960.09	8027	
197	1970.09	8103	
198	1980.09	8042	
199	1990.09	8075	
200	2000.09	8097	
201	2010.09	8092	
202	2020.09	8111	
203	2030.09	8095	
204	2040.09	8166	
205	2050.09	8056	
206	2060.09	8101	
207	2070.09	8038	
208	2080.09	8066	
209	2090.1	8106	
210	2100.1	6962	
211	2110.1	653	
212	2120.1	662	
213	2130.1	660	
214	2140.1	663	
215	2150.1	656	
216	2160.1	660	
217	2170.1	658	
218	2180.1	670	
219	2190.1	670	
220	2200.1	666	
221	2210.1	661	
222	2220.1	661	
223	2230.1	670	
224	2240.1	670	
